"Created Date","Order ID","Query Class","Query Category","Product Name","SKU","Batch Number","Delivery Partner","Month","Week","Source"
"8/6/2026","HYP41386390","Product","Burning Sensation","DOUBLE SHOT FACE SERUM - 50ML","HYPMUBX038F050","","Xpressbees","8_Aug'26","8_Aug Week 1","whatsapp"
"8/6/2026","HYP39914590","Product","Reacted-Acne/Pimples","DOUBLE SHOT FACE SERUM - 50ML","HYPMUBX038F050","","Xpressbees","8_Aug'26","8_Aug Week 1","whatsapp"
"8/6/2026","HYP40730010","Product","Product not Effective","VIP MARSHMALLOW LIP BALM WITH 1% VIT E, 2% SQUALANE & PEPTIDES - 10G","HYPMUBX023F010","","DELHIVERY","8_Aug'26","8_Aug Week 1","whatsapp"
"8/6/2026","HYP40153880","Product","Reacted-Acne/Pimples","DOUBLE SHOT FACE SERUM - 50ML","HYPMUBX038F050","","Shadowfax","8_Aug'26","8_Aug Week 1","whatsapp"
"8/6/2026","HYP40879940","Product","Change in Smell","DOUBLE SHOT FACE SERUM - 50ML","HYPMUBX038F050","FC26C174","DELHIVERY","8_Aug'26","8_Aug Week 1","whatsapp"
"8/6/2026","HYP42050120","Product","Change in Smell","VIP MARSHMALLOW LIP BALM WITH 1% VIT E, 2% SQUALANE & PEPTIDES - 10G","HYPMUBX023F010","","","8_Aug'26","8_Aug Week 1","whatsapp"
"8/7/2026","HYP38535190","Product","Reacted-Acne/Pimples","DOUBLE SHOT FACE SERUM - 50ML","HYPMUBX038F050","","DELHIVERY","8_Aug'26","8_Aug Week 1","liveChat"
"8/6/2026","HYP37663540","Product","Reacted-Acne/Pimples","DOUBLE SHOT FACE SERUM - 50ML","HYPMUBX038F050","","DELHIVERY","8_Aug'26","8_Aug Week 1","liveChat"
"8/6/2026","HYP37604830","Product","Reacted-Skin Irritation","Dual phase de-pigmentation serum | 4% tranexamic acid","HYPMUBX0046F0030","","Shadowfax","8_Aug'26","8_Aug Week 1","whatsapp"
"8/4/2026","HYP38250940","Product","Reacted-Skin Irritation","2% Cica Exosomes Oil-Free Moisturizer - 50ml","HYPMUBX044F050","","DELHIVERY","8_Aug'26","8_Aug Week 1","instagram"
"8/6/2026","HYP38881320","Product","Change in color","DOUBLE SHOT FACE SERUM - 50ML","HYPMUBX038F050","","DELHIVERY","8_Aug'26","8_Aug Week 1","whatsapp"
"8/6/2026","HYP41122920","Product","Change in Smell","VIP MARSHMALLOW LIP BALM WITH 1% VIT E, 2% SQUALANE & PEPTIDES - 10G","HYPMUBX023F010","","","8_Aug'26","8_Aug Week 1","liveChat"
"8/6/2026","HYP36159240","Product","Change in color","DOUBLE SHOT FACE SERUM - 50ML","HYPMUBX038F050","","Shadowfax","8_Aug'26","8_Aug Week 1","whatsapp"
"8/6/2026","HYP39004820","Product","Reacted-Skin Irritation","ULTRA LIGHT WATER SUNSCREEN SPF 50 PA ++++ FOR UVA-UVB PROTECTION - 50ML","HYPMUBX008F050","","DELHIVERY","8_Aug'26","8_Aug Week 1","liveChat"
"8/2/2026","HYP40464920","Product","Reacted-Acne/Pimples","ALL I NEED SUNSCREEN SPF50 PA++++ | BRIGHTENS WITH NIACINAMIDE","HYPMUBX004F050","","Shadowfax","8_Aug'26","8_Aug Week 1","liveChat"
"8/5/2026","HYP40577990","Product","Product not Effective","VIP VINTAGE LIP BALM WITH 1% VIT E, 2% SQUALANE & PEPTIDES - 10G","HYPMUBX024F010","","Shadowfax","8_Aug'26","8_Aug Week 1","whatsapp"
"8/5/2026","HYP41122920","Product","Texture Issue","VIP MARSHMALLOW LIP BALM WITH 1% VIT E, 2% SQUALANE & PEPTIDES - 10G","HYPMUBX023F010","","","8_Aug'26","8_Aug Week 1","liveChat"
"8/5/2026","HYP38025090","Product","Product not Effective","DOUBLE SHOT FACE SERUM - 50ML","HYPMUBX038F050","","Blitz","8_Aug'26","8_Aug Week 1","whatsapp"
"8/5/2026","HYP40224950","Product","Change in consistency","Matte Max Velvet Touch Sunscreen SPF 70+ PA++++","HYPMUBX026F030","","","8_Aug'26","8_Aug Week 1","liveChat"
"8/4/2026","HYP38527770","Product","Reacted-Acne/Pimples","Dual phase de-pigmentation serum | 4% tranexamic acid","HYPMUBX0046F0030","","DELHIVERY","8_Aug'26","8_Aug Week 1","whatsapp"
"8/4/2026","HYP40692610","Product","Reacted-Skin Irritation","ALL I NEED SUNSCREEN SPF50 PA++++ | BRIGHTENS WITH NIACINAMIDE","HYPMUBX004F050","","","8_Aug'26","8_Aug Week 1","instagram"
"8/4/2026","HYP38994200","Product","Product not Effective","SUN MILK 100% MINERAL SUNSCREEN SPF 50 PA++++","HYPMUBX030F050","","","8_Aug'26","8_Aug Week 1","whatsapp"
"8/3/2026","HYP41245490","Product","Dissatisfied - Smell","DOUBLE SHOT FACE SERUM - 50ML","HYPMUBX038F050","","","8_Aug'26","8_Aug Week 1","whatsapp"
"8/3/2026","HYP40469970","Product","Reacted-Acne/Pimples","DOUBLE SHOT FACE SERUM - 50ML","HYPMUBX038F050","","DELHIVERY","8_Aug'26","8_Aug Week 1","whatsapp"
"8/3/2026","HYP40308430","Product","Reacted-Skin Irritation","Rice Water Brightening Cleanser - 100 ml","HYPMUBX017F100","","","8_Aug'26","8_Aug Week 1","whatsapp"
"8/1/2026","16050957","Product","Reacted-Acne/Pimples","MANGO LIP SCREEN SPF 50 PA++++ WITH 2% KOJIC ACID","HYPMUBX034F010","","","8_Aug'26","8_Aug Week 1","whatsapp"
